Test,Value,Num DF,Den DF,F Value,Pr > F
Pillai's trace,0.32491762170431615,48.0,1138.0,4.598732206279623,1.997520184187071e-21
Hotelling-Lawley trace,0.42637330080070235,48,1046.8776415340449,5.037275265579553,3.0597417642819677e-24
Roy's greatest root,0.3658693700228697,24,569,8.674152980958867,5.298113299439291e-26
Wilks' lambda,0.674686588749319,48,1136.0,5.146172517994349,3.109356729420901e-25
Pillai's trace,0.3530132161534197,48.0,1138.0,5.081616368584622,8.681010288853328e-25
Hotelling-Lawley trace,0.44111386132579755,48,1046.8776415340449,5.211423742499658,1.938500037175816e-25
Roy's greatest root,0.3076749478247022,24,569,7.294460221343981,3.1173317148385363e-21
Wilks' lambda,0.6869087987416226,48,1136.0,4.8886877174797805,1.9457633451726925e-23
Pillai's trace,0.3338548312156622,48.0,1138.0,4.750571421804588,1.7620847789865753e-22
Hotelling-Lawley trace,0.4255696998446083,48,1046.8776415340449,5.027781333356483,3.556022159154033e-24
Roy's greatest root,0.3354622934776694,24,569,7.953251874533079,1.5974185044655466e-23
Wilks' lambda,0.6881637168640969,48,1136.0,4.862639422191369,2.9547220395973114e-23
Pillai's trace,0.33560694260379575,48.0,1138.0,4.780530193197983,1.0905473542026818e-22
Hotelling-Lawley trace,0.4186004240105837,48,1046.8776415340449,4.945444656290151,1.3088170495323663e-23
Roy's greatest root,0.30555207579487825,24,569,7.244130463636905,4.673396000015062e-21
Wilks' lambda,0.7204432324192824,48,1136.0,4.216186450246617,8.801632772761215e-19
Pillai's trace,0.2957548892571869,48.0,1138.0,4.1143468479227625,4.360329096522312e-18
Hotelling-Lawley trace,0.36555086376462614,48,1046.8776415340449,4.31870457389052,2.5318780831473545e-19
Roy's greatest root,0.287290063246175,24,569,6.811168582794732,1.5378189011779516e-19
Wilks' lambda,0.6894136634616446,48,1136.0,4.8367650530766495,4.4736953160157036e-23
Pillai's trace,0.33413128543957876,48.0,1138.0,4.755294233607723,1.6337416274485129e-22
Hotelling-Lawley trace,0.41635581487587053,48,1046.8776415340449,4.918926311792614,1.9909022638431838e-23
Roy's greatest root,0.30402103745294135,24,569,7.207832096280151,6.2593411738779906e-21
Wilks' lambda,0.6939631198221909,48,1136.0,4.743180578404174,2.0029111078537738e-22
Pillai's trace,0.3286400784684391,48.0,1138.0,4.6617777694961005,7.294939211636448e-22
Hotelling-Lawley trace,0.4084275861227343,48,1046.8776415340449,4.8252603375793335,8.751461359655029e-23
Roy's greatest root,0.29977577509236525,24,569,7.107184001148159,1.4082904973639548e-20
