Test,Value,Num DF,Den DF,F Value,Pr > F
Pillai's trace,0.1452374946552762,18.0,1168.0,5.0811355232972115,2.5160429744705825e-11
Hotelling-Lawley trace,0.16510115293817693,18,967.8958810068611,5.340132844600227,5.353901632496548e-12
Roy's greatest root,0.15034339632470775,9,584,9.755615939292147,5.691058785741719e-14
Wilks' lambda,0.8460301382039243,18,1166.0,5.648239383462557,4.845594252373809e-13
Pillai's trace,0.1572956413482047,18.0,1168.0,5.538999973722251,1.0385929878099314e-12
Hotelling-Lawley trace,0.17805994779778883,18,967.8958810068611,5.759280045117737,2.990131423645762e-13
Roy's greatest root,0.15223831820211123,9,584,9.878575314448106,3.652263819925236e-14
Wilks' lambda,0.8672773438116829,18,1166.0,4.780215561868302,2.0085995823396983e-10
Pillai's trace,0.1347221711202266,18.0,1168.0,4.686686271256658,3.8086408772347316e-10
Hotelling-Lawley trace,0.1507281865359006,18,967.8958810068611,4.875244813273927,1.2792743334196102e-10
Roy's greatest root,0.13345228883901547,9,584,8.659570742442781,2.998637574410196e-12
Wilks' lambda,0.8601161255789048,18,1166.0,5.069180870305402,2.7383097571197275e-11
Pillai's trace,0.14289465130815635,18.0,1168.0,4.992864383317255,4.633561752625271e-11
Hotelling-Lawley trace,0.15913327684899625,18,967.8958810068611,5.147104203980911,2.0074259966365484e-11
Roy's greatest root,0.13276832312887266,9,584,8.615188967473514,3.521970655027021e-12
Wilks' lambda,0.8556275500952347,18,1166.0,5.2521478941241675,7.694630678829617e-12
Pillai's trace,0.1485213124507418,18.0,1168.0,5.205235688672616,1.0638937361282251e-11
Hotelling-Lawley trace,0.1638839087675252,18,967.8958810068611,5.300761553365032,7.013186681394982e-12
Roy's greatest root,0.12513422293518459,9,584,8.119820688238644,2.123522224027634e-11
Wilks' lambda,0.8351907431424657,18,1166.0,6.103772765843012,1.9691340055691098e-14
Pillai's trace,0.16940873567598408,18.0,1168.0,6.005024081738628,3.939102008981682e-14
Hotelling-Lawley trace,0.19182417831438547,18,967.8958810068611,6.204478749998072,1.3715222523081965e-14
