Test,Value,Num DF,Den DF,F Value,Pr > F
Hotelling-Lawley trace,0.34260149362117404,40,1039.718978102193,4.8914805199105045,4.275091713299101e-20
Roy's greatest root,0.2689626264634035,20,573,7.70577924817651,9.393688181649616e-20
Wilks' lambda,0.7255542505759218,40,1144.0,4.976164795310715,8.642403703160248e-21
Pillai's trace,0.2895640639501065,40.0,1146.0,4.8502316031370825,4.886299729910003e-20
Hotelling-Lawley trace,0.35741977211518494,40,1039.718978102193,5.103047958878562,2.3905585559757622e-21
Roy's greatest root,0.2840678721517822,20,573,8.13854453714856,4.6222438123641975e-21
Wilks' lambda,0.7510091115157467,40,1144.0,4.402240899819893,2.310669572165528e-17
Pillai's trace,0.26143442947587947,40.0,1146.0,4.3082047243268065,8.280120015278913e-17
Hotelling-Lawley trace,0.31497267325453404,40,1039.718978102193,4.49701102947401,9.003125660333998e-18
Roy's greatest root,0.24822139960895062,20,573,7.111543098796435,6.008417636296002e-18
Wilks' lambda,0.7525933315339315,40,1144.0,4.367487500138674,3.7126400583231177e-17
Pillai's trace,0.2613079259561797,40.0,1146.0,4.305806755783179,8.554903776065853e-17
Hotelling-Lawley trace,0.31026771191292385,40,1039.718978102193,4.429836112907926,2.228795043472197e-17
Roy's greatest root,0.22993607740361607,20,573,6.5876686176136,2.3899090596322806e-16
Wilks' lambda,0.7331306615336257,40,1144.0,4.802220719975667,9.545217184090566e-20
Pillai's trace,0.2840920419564228,40.0,1146.0,4.74339953020068,2.1316418663929816e-19
Hotelling-Lawley trace,0.3405213396123596,40,1039.718978102193,4.861781195762839,6.404163352646486e-20
Roy's greatest root,0.24440039212471643,20,573,7.002071234373125,1.295757418097461e-17
Wilks' lambda,0.7304088659179266,40,1144.0,4.864397867657564,4.0483862394904066e-20
Pillai's trace,0.2857116825710748,40.0,1146.0,4.774949244207675,1.3801614215503068e-19
Hotelling-Lawley trace,0.34702561458441195,40,1039.718978102193,4.9546457480613615,1.808801727082933e-20
Roy's greatest root,0.26315717508768055,20,573,7.539453066262047,3.000807336313978e-19
Wilks' lambda,0.7216444700982402,40,1144.0,5.066997685048129,2.4586771367578805e-21
Pillai's trace,0.29818677777322317,40.0,1146.0,5.019969918922413,4.67708889218026e-21
Hotelling-Lawley trace,0.3582432800948402,40,1039.718978102193,5.114805564480039,2.0361003681408824e-21
Roy's greatest root,0.24697388763667552,20,573,7.0758018807907535,7.721418659994352e-18
Wilks' lambda,0.7500393580490293,40,1144.0,4.423568913517874,1.726807758370199e-17
Pillai's trace,0.2608927613791742,40.0,1146.0,4.297939452797028,9.521916579536383e-17
Hotelling-Lawley trace,0.31868797278121225,40,1039.718978102193,4.5500560850232254,4.39604873185896e-18
Roy's greatest root,0.26333971534149103,20,573,7.5446828445337175,2.8931088663694766e-19
Wilks' lambda,0.7239939230255684,40,1144.0,5.012326437336232,5.240625561944389e-21
Pillai's trace,0.291846436399809,40.0,1146.0,4.894993389957058,2.6335846217663163e-20
