Dataset,model,sampling,representation,accuracy,recall,precision,f1,roc_auc_ovr,mcc,fit_time,score_time
Validation,LGBM,Original,pc_ROBB760113_LGBM_42_metrics,0.4653654869303724,0.4653654869303724,0.4567222347929924,0.4565156569396379,0.6270441312028556,0.09554547014753037,1.7936278343200684,0.030149078369140568
Validation,LGBM,Over,embedding_protT5_LGBM_42_metrics,0.530479088186999,0.530479088186999,0.524083046771583,0.5247207533454556,0.7047860805704912,0.29711754913591554,3.094055008888245,0.00912666320800775
Validation,LGBM,Over,fft_FASG760101_LGBM_42_metrics,0.5064160146817348,0.5064160146817348,0.5019722347765215,0.5013471009383166,0.6875960304048131,0.26120458299242666,0.23393437862396235,0.01462609767913813
Validation,LGBM,Over,fft_FAUJ880111_LGBM_42_metrics,0.474905824398725,0.474905824398725,0.47328097267095437,0.4574804988121463,0.6292138615681047,0.22007137200500243,0.6602861404418945,0.02178559303283687
Validation,LGBM,Over,fft_FAUJ880112_LGBM_42_metrics,0.4031536752632087,0.4031536752632087,0.43161343163977517,0.38274406226734536,0.5633010425254223,0.114934114954291,0.6393482923507691,0.01972193717956538
Validation,LGBM,Over,fft_GEIM800101_LGBM_42_metrics,0.5137617115811842,0.5137617115811842,0.5083203566207106,0.5083774494696428,0.6966182599433947,0.27211013740013945,0.23830142021179196,0.0142123937606811
Validation,LGBM,Over,fft_GEIM800105_LGBM_42_metrics,0.5088428474838211,0.5088428474838211,0.5023369709550611,0.5038818371486818,0.6881414438763507,0.2641791110322563,1.8559123992919921,0.02002890110015865
Validation,LGBM,Over,fft_JOND750101_LGBM_42_metrics,0.4896720757268424,0.4896720757268424,0.48333336966858986,0.4842120247057823,0.6763946682549065,0.23567513737966378,1.9972099304199218,0.02624068260192865
Validation,LGBM,Over,fft_KLEP840101_LGBM_42_metrics,0.4867164107022119,0.4867164107022119,0.47574883783741495,0.4710908629165382,0.6524054025814794,0.23546540323237797,0.20869255065917963,0.013186073303222601
Validation,LGBM,Over,fft_ROBB760113_LGBM_42_metrics,0.4916594223896455,0.4916594223896455,0.48692234337618157,0.48706835382438757,0.6775851032865915,0.23873395555884597,2.168448495864868,0.01676087379455562
Validation,LGBM,Over,fft_ZIMJ680104_LGBM_42_metrics,0.5137834444122477,0.5137834444122477,0.5069648141978318,0.5080450247045059,0.6986587339956631,0.27194703020723787,1.8222060203552246,0.02221388816833492
Validation,LGBM,Over,pc_FASG760101_LGBM_42_metrics,0.596360958176374,0.596360958176374,0.5921703988040126,0.5920787790552251,0.7989083940001389,0.39608888338032033,0.2971011161804199,0.014097571372985802
Validation,LGBM,Over,pc_FAUJ880111_LGBM_42_metrics,0.47048681541582144,0.47048681541582144,0.4689844325581409,0.45341548465372633,0.6211409312530007,0.21301922387281605,1.0947501182556152,0.031903290748596144
Validation,LGBM,Over,pc_GEIM800101_LGBM_42_metrics,0.5825702694871052,0.5825702694871052,0.57724130818341,0.5772692135016794,0.7887037750342227,0.37564745704688257,0.2971298694610595,0.01450288295745844
Validation,LGBM,Over,pc_GEIM800105_LGBM_42_metrics,0.5953757365014971,0.5953757365014971,0.5898045529504814,0.589808038295615,0.802374761939374,0.3950463610634118,2.727565622329712,0.01846625804901118
Validation,LGBM,Over,pc_JOND750101_LGBM_42_metrics,0.5801289481309765,0.5801289481309765,0.575024065114059,0.5748798459355526,0.7868186401231061,0.372050396947802,2.9009107112884522,0.01872494220733637
